RiverName,Date,Sex,Length,SampleYear,Age,IDNum
Oyster River,3/26/19,female,172,2019,2,2019190
Oyster River,3/26/19,male,156,2019,2,2019195
Oyster River,3/26/19,male,100,2019,1,2019198
Oyster River,3/26/19,male,113,2019,1,2019199
Oyster River,3/27/19,female,168,2019,2,2019207
Oyster River,3/27/19,male,188,2019,2,2019209
Oyster River,3/27/19,male,186,2019,2,2019211
Oyster River,3/27/19,male,173,2019,2,2019217
Oyster River,3/27/19,male,174,2019,2,2019218
Oyster River,3/27/19,male,186,2019,2,2019219
Oyster River,3/27/19,female,179,2019,2,2019222
Oyster River,3/27/19,male,175,2019,2,2019223
Oyster River,3/27/19,male,185,2019,3,2019225
Oyster River,3/27/19,male,205,2019,3,2019227
Oyster River,3/27/19,male,160,2019,2,2019229
Oyster River,3/27/19,male,181,2019,2,2019230
Oyster River,3/27/19,male,163,2019,2,2019231
Oyster River,3/27/19,male,159,2019,2,2019233
Oyster River,3/27/19,male,151,2019,2,2019235
Oyster River,3/27/19,male,193,2019,2,2019236
Oyster River,3/27/19,male,174,2019,2,2019239
Oyster River,3/27/19,female,91,2019,1,2019247
Oyster River,3/27/19,male,179,2019,2,2019248
Oyster River,3/27/19,male,172,2019,2,2019249
Oyster River,3/27/19,male,121,2019,1,2019251
Oyster River,3/27/19,female,175,2019,2,2019252
Oyster River,3/27/19,male,175,2019,2,2019254
Oyster River,3/27/19,male,178,2019,2,2019255
Oyster River,3/27/19,male,110,2019,1,2019257
Oyster River,3/27/19,male,122,2019,1,2019258
Oyster River,3/27/19,male,91,2019,1,2019260
Oyster River,3/28/19,male,170,2019,2,2019280
Oyster River,3/28/19,female,161,2019,2,2019283
Oyster River,3/28/19,male,168,2019,2,2019285
Oyster River,3/28/19,female,184,2019,2,2019286
Oyster River,3/28/19,male,166,2019,2,2019287
Oyster River,3/28/19,male,169,2019,2,2019288
Oyster River,3/28/19,male,111,2019,1,2019289
Oyster River,3/28/19,male,127,2019,1,2019290
Oyster River,3/28/19,male,116,2019,1,2019291
Oyster River,3/28/19,male,125,2019,1,2019294
Oyster River,3/28/19,male,171,2019,2,2019295
Oyster River,3/28/19,male,162,2019,2,2019298
Oyster River,3/28/19,male,184,2019,2,2019299
Oyster River,3/28/19,male,180,2019,2,2019300
Oyster River,3/28/19,male,181,2019,2,2019302
Oyster River,3/28/19,male,164,2019,2,2019304
Oyster River,3/28/19,female,112,2019,1,2019305
Oyster River,3/28/19,female,109,2019,1,2019310
Oyster River,4/3/19,male,122,2019,1,2019311
Oyster River,4/3/19,female,107,2019,1,2019314
Oyster River,4/3/19,male,182,2019,2,2019315
Oyster River,4/3/19,female,101,2019,1,2019317
Oyster River,4/4/19,male,104,2019,1,2019344
Oyster River,4/4/19,male,95,2019,1,2019345
Oyster River,4/4/19,male,96,2019,1,2019346
Oyster River,4/4/19,male,103,2019,1,2019347
Oyster River,4/4/19,male,104,2019,1,2019348
Oyster River,4/4/19,male,98,2019,1,2019349
Oyster River,4/4/19,male,98,2019,1,2019350
Oyster River,4/4/19,male,105,2019,1,2019351
Oyster River,4/4/19,male,99,2019,1,2019352
Oyster River,4/4/19,male,93,2019,1,2019353
Oyster River,4/4/19,male,117,2019,1,2019355
Oyster River,4/4/19,male,111,2019,1,2019356
Oyster River,4/4/19,male,99,2019,1,2019358
Oyster River,4/4/19,male,167,2019,2,2019361
Oyster River,4/4/19,male,108,2019,1,2019363
Oyster River,4/4/19,male,157,2019,2,2019366
Oyster River,4/4/19,male,161,2019,2,2019367
Oyster River,4/4/19,male,97,2019,1,2019368
Oyster River,4/4/19,male,101,2019,1,2019370
Oyster River,4/4/19,male,107,2019,1,2019373
Oyster River,4/4/19,male,153,2019,2,2019374
Oyster River,4/4/19,male,182,2019,2,2019376
Oyster River,4/4/19,female,93,2019,1,2019380
Oyster River,4/4/19,female,97,2019,1,2019381
Oyster River,4/4/19,female,102,2019,1,2019382
Oyster River,4/4/19,female,102,2019,1,2019383
Oyster River,4/4/19,female,114,2019,1,2019384
Oyster River,4/5/19,female,111,2019,1,2019435
Oyster River,4/5/19,male,193,2019,2,2019436
Oyster River,4/5/19,male,129,2019,1,2019437
Oyster River,4/5/19,female,200,2019,2,2019438
Oyster River,4/5/19,male,86,2019,1,2019443
Oyster River,4/5/19,female,91,2019,1,2019444
Oyster River,4/5/19,male,94,2019,1,2019445
Oyster River,4/10/19,female,178,2019,2,2019521
Oyster River,4/10/19,female,176,2019,2,2019522
Oyster River,4/10/19,female,179,2019,2,2019523
Oyster River,4/10/19,female,89,2019,1,2019528
Oyster River,4/10/19,female,94,2019,1,2019525
Oyster River,4/10/19,male,111,2019,1,2019526
Oyster River,4/10/19,male,89,2019,1,2019524
Oyster River,4/9/19,male,165,2019,2,2019478
Oyster River,4/9/19,female,176,2019,2,2019482
Oyster River,4/9/19,female,174,2019,2,2019484
Oyster River,4/9/19,female,176,2019,2,2019486
Oyster River,4/9/19,female,105,2019,1,2019488
Oyster River,4/9/19,female,98,2019,1,2019490
Oyster River,4/9/19,male,109,2019,1,2019492
Oyster River,4/9/19,female,107,2019,1,2019493
Oyster River,4/9/19,female,117,2019,1,2019495
Oyster River,4/9/19,male,106,2019,1,2019497
Oyster River,4/9/19,male,115,2019,1,2019498
Oyster River,4/11/19,male,158,2019,2,2019550
Oyster River,4/11/19,male,192,2019,2,2019533
Oyster River,4/11/19,male,112,2019,1,2019534
Oyster River,4/11/19,male,150,2019,2,2019549
Oyster River,4/11/19,male,159,2019,2,2019548
Oyster River,4/11/19,male,150,2019,2,2019540
Oyster River,4/11/19,female,89,2019,1,2019539
Oyster River,4/16/19,male,87,2019,1,2019551
Oyster River,4/16/19,male,87,2019,1,2019552
Oyster River,4/16/19,male,110,2019,1,2019553
Oyster River,4/16/19,female,80,2019,1,2019554
Oyster River,4/17/19,female,176,2019,2,2019567
Oyster River,4/17/19,male,99,2019,1,2019561
Oyster River,4/17/19,female,91,2019,1,2019573
Oyster River,4/17/19,female,96,2019,1,2019577
Oyster River,4/17/19,female,109,2019,1,2019562
Oyster River,4/18/19,female,97,2019,1,2019588
Squamscott River,3/26/19,male,185,2019,2,2019202
Squamscott River,3/26/19,male,199,2019,2,2019203
Squamscott River,3/26/19,male,194,2019,2,2019204
Squamscott River,3/26/19,male,188,2019,3,2019205
Squamscott River,3/26/19,male,191,2019,2,2019201
Squamscott River,3/27/19,male,175,2019,2,2019267
Squamscott River,3/27/19,male,198,2019,2,2019268
Squamscott River,3/27/19,male,196,2019,2,2019266
Squamscott River,3/27/19,male,224,2019,4,2019265
Squamscott River,3/27/19,male,185,2019,2,2019264
Squamscott River,4/3/19,male,177,2019,2,2019324
Squamscott River,4/3/19,male,172,2019,2,2019325
Squamscott River,4/3/19,male,176,2019,2,2019323
Squamscott River,4/4/19,male,114,2019,1,2019390
Squamscott River,4/4/19,male,169,2019,2,2019395
Squamscott River,4/4/19,male,192,2019,3,2019398
Squamscott River,4/4/19,male,168,2019,2,2019397
Squamscott River,4/4/19,male,102,2019,1,2019396
Squamscott River,4/4/19,male,176,2019,2,2019394
Squamscott River,4/4/19,male,165,2019,2,2019391
Squamscott River,4/4/19,male,184,2019,2,2019386
Squamscott River,4/4/19,male,109,2019,1,2019392
Squamscott River,4/5/19,male,95,2019,1,2019458
Squamscott River,4/5/19,male,188,2019,3,2019454
Squamscott River,4/5/19,male,167,2019,2,2019453
Squamscott River,4/5/19,male,164,2019,2,2019452
Squamscott River,4/5/19,male,186,2019,2,2019450
Squamscott River,4/5/19,male,112,2019,1,2019449
Squamscott River,4/5/19,male,97,2019,1,2019448
Squamscott River,4/5/19,male,101,2019,1,2019447
Squamscott River,4/5/19,male,107,2019,1,2019446
Squamscott River,4/5/19,female,114,2019,1,2019459
Squamscott River,4/5/19,male,108,2019,1,2019457
Squamscott River,4/5/19,male,107,2019,1,2019460
Squamscott River,4/9/19,male,182,2019,3,2019510
Squamscott River,4/9/19,male,114,2019,1,2019519
Squamscott River,4/9/19,male,108,2019,1,2019518
Squamscott River,4/9/19,female,102,2019,1,2019517
Squamscott River,4/9/19,male,156,2019,2,2019516
Squamscott River,4/9/19,male,166,2019,2,2019512
Squamscott River,4/9/19,male,182,2019,2,2019509
Squamscott River,4/9/19,male,173,2019,2,2019506
Squamscott River,4/9/19,male,181,2019,3,2019504
Squamscott River,4/9/19,male,179,2019,2,2019513
