Date,Year,RiverName,Temperature,SpecificConductivity,pH,DOmg,DOSaturation,Turbidity
3/19/19,2019,Winnicut River,-0.14,0.72,6.84,14.35,97.97,0.73
3/20/19,2019,Winnicut River,0.05,0.72,7.09,14.56,99.90,0.87
3/21/19,2019,Winnicut River,0.53,0.70,7.01,14.33,99.80,0.23
3/22/19,2019,Winnicut River,1.69,0.67,7.04,13.68,98.33,2.17
3/25/19,2019,Winnicut River,3.24,0.66,7.03,13.15,98.53,0.63
3/26/19,2019,Winnicut River,3.06,0.66,7.03,13.80,102.90,1.03
3/27/19,2019,Winnicut River,3.92,0.67,7.14,14.10,107.60,0.87
3/28/19,2019,Winnicut River,3.17,0.67,7.14,13.75,102.80,2.40
4/2/19,2019,Winnicut River,4.16,0.63,7.00,11.81,90.70,1.53
4/3/19,2019,Winnicut River,5.94,0.63,7.13,11.46,92.10,1.30
4/4/19,2019,Winnicut River,5.56,0.62,7.06,11.34,90.30,1.10
4/5/19,2019,Winnicut River,5.25,0.64,7.04,12.07,95.30,1.43
4/8/19,2019,Winnicut River,9.08,0.63,7.12,10.37,90.00,2.53
4/9/19,2019,Winnicut River,5.04,0.63,7.04,11.86,93.13,1.07
4/10/19,2019,Winnicut River,5.08,0.63,7.11,12.41,97.43,1.00
4/11/19,2019,Winnicut River,4.77,0.65,7.06,12.12,94.53,1.90
4/15/19,2019,Winnicut River,10.65,0.57,7.08,10.53,94.87,6.87
4/16/19,2019,Winnicut River,9.12,0.60,7.05,10.94,95.10,2.93
4/17/19,2019,Winnicut River,8.90,0.62,7.17,10.56,91.30,1.73
4/18/19,2019,Winnicut River,9.62,0.64,7.19,10.21,89.77,1.43
2/25/20,2020,Winnicut River,1.02,0.71,6.97,13.09,92.33,0.13
2/26/20,2020,Winnicut River,1.61,0.67,7.01,13.09,93.93,0.23
2/27/20,2020,Winnicut River,1.52,0.46,6.63,12.77,91.33,47.90
2/28/20,2020,Winnicut River,0.09,0.51,6.43,13.18,90.63,1.90
3/2/20,2020,Winnicut River,0.15,0.60,6.87,13.44,92.47,0.37
3/3/20,2020,Winnicut River,2.19,0.59,7.00,13.17,95.80,0.23
3/4/20,2020,Winnicut River,4.97,0.55,7.12,12.44,97.67,0.77
