SampleId,HaulDate,RiverID,Length (mm),Sex,Recap,RecapPreviousYear
201904,3/26/19,Oyster River,103,1,FALSE,FALSE
201904,3/26/19,Oyster River,113,1,FALSE,FALSE
201904,3/26/19,Oyster River,100,1,FALSE,FALSE
201904,3/26/19,Oyster River,99,2,FALSE,FALSE
201904,3/26/19,Oyster River,109,1,FALSE,FALSE
201904,3/26/19,Oyster River,156,1,FALSE,FALSE
201904,3/26/19,Oyster River,168,1,FALSE,FALSE
201904,3/26/19,Oyster River,170,1,FALSE,FALSE
201904,3/26/19,Oyster River,172,2,FALSE,FALSE
201904,3/26/19,Oyster River,175,1,FALSE,FALSE
201904,3/26/19,Oyster River,168,1,FALSE,FALSE
201904,3/26/19,Oyster River,172,1,FALSE,FALSE
201907,3/27/19,Oyster River,178,1,FALSE,FALSE
201907,3/27/19,Oyster River,168,1,FALSE,FALSE
201907,3/27/19,Oyster River,113,1,FALSE,FALSE
201907,3/27/19,Oyster River,91,2,FALSE,FALSE
201907,3/27/19,Oyster River,168,1,FALSE,FALSE
201907,3/27/19,Oyster River,170,1,FALSE,FALSE
201907,3/27/19,Oyster River,181,1,FALSE,FALSE
201907,3/27/19,Oyster River,175,1,FALSE,FALSE
201907,3/27/19,Oyster River,172,1,FALSE,FALSE
201907,3/27/19,Oyster River,179,1,FALSE,FALSE
201907,3/27/19,Oyster River,168,1,FALSE,FALSE
201907,3/27/19,Oyster River,175,1,FALSE,FALSE
201907,3/27/19,Oyster River,151,1,FALSE,FALSE
201907,3/27/19,Oyster River,174,1,FALSE,FALSE
201907,3/27/19,Oyster River,172,1,FALSE,FALSE
201907,3/27/19,Oyster River,168,1,FALSE,FALSE
201907,3/27/19,Oyster River,121,1,FALSE,FALSE
201907,3/27/19,Oyster River,117,1,FALSE,FALSE
201907,3/27/19,Oyster River,181,1,FALSE,FALSE
201907,3/27/19,Oyster River,178,1,FALSE,FALSE
201907,3/27/19,Oyster River,100,1,FALSE,FALSE
201907,3/27/19,Oyster River,110,1,FALSE,FALSE
201907,3/27/19,Oyster River,122,1,FALSE,FALSE
201907,3/27/19,Oyster River,111,1,FALSE,FALSE
201907,3/27/19,Oyster River,91,1,FALSE,FALSE
201907,3/27/19,Oyster River,104,1,FALSE,FALSE
201907,3/27/19,Oyster River,109,1,FALSE,FALSE
201907,3/27/19,Oyster River,111,1,FALSE,FALSE
201907,3/27/19,Oyster River,175,2,FALSE,FALSE
201907,3/27/19,Oyster River,178,1,FALSE,FALSE
201907,3/27/19,Oyster River,175,1,FALSE,FALSE
201907,3/27/19,Oyster River,168,2,FALSE,FALSE
201907,3/27/19,Oyster River,182,1,FALSE,FALSE
201907,3/27/19,Oyster River,188,1,FALSE,FALSE
201907,3/27/19,Oyster River,171,1,FALSE,FALSE
201907,3/27/19,Oyster River,186,1,FALSE,FALSE
201907,3/27/19,Oyster River,193,1,FALSE,FALSE
201907,3/27/19,Oyster River,174,1,FALSE,FALSE
201907,3/27/19,Oyster River,159,1,FALSE,FALSE
201907,3/27/19,Oyster River,172,1,FALSE,FALSE
201907,3/27/19,Oyster River,186,1,FALSE,FALSE
201907,3/27/19,Oyster River,173,1,FALSE,FALSE
201907,3/27/19,Oyster River,174,1,FALSE,FALSE
201907,3/27/19,Oyster River,163,1,FALSE,FALSE
201907,3/27/19,Oyster River,174,1,FALSE,FALSE
201907,3/27/19,Oyster River,166,1,FALSE,FALSE
201907,3/27/19,Oyster River,186,1,FALSE,FALSE
201907,3/27/19,Oyster River,181,1,FALSE,FALSE
201907,3/27/19,Oyster River,160,1,FALSE,FALSE
201907,3/27/19,Oyster River,169,1,FALSE,FALSE
201907,3/27/19,Oyster River,205,1,FALSE,FALSE
201907,3/27/19,Oyster River,185,1,FALSE,FALSE
201907,3/27/19,Oyster River,178,1,FALSE,FALSE
201907,3/27/19,Oyster River,175,1,FALSE,FALSE
201907,3/27/19,Oyster River,179,2,FALSE,FALSE
201907,3/27/19,Oyster River,180,1,FALSE,FALSE
201907,3/27/19,Oyster River,163,1,FALSE,FALSE
201907,3/27/19,Oyster River,172,1,FALSE,FALSE
201911,3/28/19,Oyster River,180,1,FALSE,FALSE
201911,3/28/19,Oyster River,169,1,TRUE,FALSE
201911,3/28/19,Oyster River,184,1,FALSE,FALSE
201911,3/28/19,Oyster River,177,1,TRUE,FALSE
201911,3/28/19,Oyster River,162,1,FALSE,FALSE
201911,3/28/19,Oyster River,105,1,FALSE,FALSE
201911,3/28/19,Oyster River,174,2,FALSE,FALSE
201911,3/28/19,Oyster River,172,1,FALSE,FALSE
201911,3/28/19,Oyster River,189,1,TRUE,FALSE
201911,3/28/19,Oyster River,181,1,FALSE,FALSE
201911,3/28/19,Oyster River,164,1,FALSE,FALSE
201911,3/28/19,Oyster River,103,1,FALSE,FALSE
201911,3/28/19,Oyster River,103,1,FALSE,FALSE
201911,3/28/19,Oyster River,103,1,TRUE,FALSE
201911,3/28/19,Oyster River,96,1,FALSE,FALSE
201911,3/28/19,Oyster River,94,1,FALSE,FALSE
201911,3/28/19,Oyster River,110,1,FALSE,FALSE
201911,3/28/19,Oyster River,109,2,FALSE,FALSE
201911,3/28/19,Oyster River,112,2,FALSE,FALSE
201911,3/28/19,Oyster River,184,2,FALSE,FALSE
201911,3/28/19,Oyster River,91,2,FALSE,FALSE
201911,3/28/19,Oyster River,171,1,FALSE,FALSE
201911,3/28/19,Oyster River,170,1,FALSE,FALSE
201911,3/28/19,Oyster River,106,1,TRUE,FALSE
201911,3/28/19,Oyster River,166,1,FALSE,FALSE
201911,3/28/19,Oyster River,168,1,FALSE,FALSE
201911,3/28/19,Oyster River,161,2,FALSE,FALSE
201911,3/28/19,Oyster River,168,1,FALSE,FALSE
201911,3/28/19,Oyster River,166,1,FALSE,FALSE
201911,3/28/19,Oyster River,116,1,FALSE,FALSE
201911,3/28/19,Oyster River,125,1,FALSE,FALSE
201911,3/28/19,Oyster River,173,1,TRUE,FALSE
201911,3/28/19,Oyster River,168,1,FALSE,FALSE
201911,3/28/19,Oyster River,105,1,FALSE,FALSE
201911,3/28/19,Oyster River,127,1,FALSE,FALSE
201911,3/28/19,Oyster River,111,1,FALSE,FALSE
201911,3/28/19,Oyster River,169,1,FALSE,FALSE
201911,3/28/19,Oyster River,102,1,FALSE,FALSE
201913,4/3/19,Oyster River,94,1,FALSE,FALSE
201913,4/3/19,Oyster River,101,2,FALSE,FALSE
201913,4/3/19,Oyster River,95,1,FALSE,FALSE
201913,4/3/19,Oyster River,98,1,FALSE,FALSE
201913,4/3/19,Oyster River,102,1,FALSE,FALSE
201913,4/3/19,Oyster River,110,1,FALSE,FALSE
201913,4/3/19,Oyster River,184,1,FALSE,FALSE
201913,4/3/19,Oyster River,107,2,FALSE,FALSE
201913,4/3/19,Oyster River,111,1,FALSE,FALSE
201913,4/3/19,Oyster River,122,1,FALSE,FALSE
